Method,Al,Ba,Ca,Ce,Distance,Fe,K,La,Li,Mg,Mn,Na,Rb,Si,Sr,Ti,Xan,Y,Si_sd,Li_sd,Mg_sd,K_sd,Ti_sd,Ca_sd,Sr_sd,Rb_sd,Y_sd,Ba_sd,La_sd,Ce_sd,Xan_sd,Fe_sd,Al_sd,Mn_sd,Na_sd,Profile
SIMS,,4.3502153924,95226.0067956067,0.1342530588,163.5157281107,,81.3844123652,0.0918956984,0.3444787787,990.7667592286,,,,214388.605463333,128.0087304466,86.6920914325,0.8948849298,0.0957463675,949.5739324535,0.0524092997,4.8475049293,2.9378698629,7.1478187484,931.413507148,3.9992205041,,0.0756941497,1.1014147994,0.0704790353,0.0655109354,,,,,,SKU_1_C3_P3
EPMA,178035.615759875,,125694.809210127,,164.9591336139,3387.4945020071,10.7919211007,,,1058.9310431417,-513.4653088498,8553.6099763145,,215079.895147318,,85.1066914749,0.8939502216,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,178533.10674165,,127720.242842928,,169.923053214,2899.3470611488,18.2632510935,,,962.46891087,-66.6033432294,8749.4601960671,,213143.779706179,,169.6140400522,0.893317827,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,180059.98065912,,130250.248157012,,174.9133368147,2998.8420809416,-97.1272899062,,,965.6095384324,6.1956598353,8548.4169780635,,211596.570118983,,79.1132624978,0.8973342229,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,179229.06487041,,131567.423240022,,179.973718529,3483.1029975892,82.1846299206,,,983.5559816457,-178.1252202646,7853.2970693205,,211601.711903109,,141.4449238598,0.9057509889,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,180558.530132346,,129474.093984386,,184.9640021297,3575.6022738028,133.6537920931,,,971.890793557,230.0138713852,8326.6017670558,,212283.69945227,,150.4350673254,0.8991906062,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,180069.507082175,,129551.280587188,,189.9279217298,3319.8689807417,70.5625610429,,,988.042592449,-192.065454894,7549.1357431896,,213333.090849024,,76.1165480093,0.9077847524,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,180492.903662409,,129905.767207467,,194.9182053306,3239.8065820022,68.902265489,,,924.781380122,-49.5652786823,7868.8760640735,,213205.481115699,,43.1526886352,0.9044892986,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,181171.92592796,,131062.136867972,,199.8821249307,3350.961174427,-40.6772410718,,,883.055899651,631.1828457203,6708.6118834182,,210855.218334906,,62.9310042596,0.9180782104,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
SIMS,,4.3601066054,96515.974856968,0.1995823446,200.5369946932,,77.7859394393,0.0750224916,0.2927207721,894.5383035524,,,,210840.835848732,128.9608995968,77.0694899971,0.9179859319,0.11565541,933.8600863883,0.0445347917,4.3766898672,2.8079697401,6.3544290653,944.0307922424,4.0289679625,,0.0914336298,1.1039191187,0.0575381974,0.0973894093,,,,,,SKU_1_C3_P3
